route_id,service_id,trip_id,trip_headsign,direction_id,wheelchair_accessible,block_id,shape_id
1,M84_26_01_ogt,M84_26_01_ogt_112_3001_L1V1,Atarazanas,1,,M84_26_01_ogt_112_3001,L1V1
1,M84_26_01_ogt,M84_26_01_ogt_112_3002_L1V2,Andalucía Tech,0,,M84_26_01_ogt_112_3002,L1V2
1,M84_26_01_ogt,M84_26_01_ogt_112_3003_L1V1,Atarazanas,1,,M84_26_01_ogt_112_3003,L1V1
1,M84_26_01_ogt,M84_26_01_ogt_112_3004_L1V2,Andalucía Tech,0,,M84_26_01_ogt_112_3004,L1V2
1,M84_26_01_ogt,M84_26_01_ogt_112_3005_L1V1,Atarazanas,1,,M84_26_01_ogt_112_3005,L1V1
1,M84_26_01_ogt,M84_26_01_ogt_112_3006_L1V2,Andalucía Tech,0,,M84_26_01_ogt_112_3006,L1V2
1,M84_26_01_ogt,M84_26_01_ogt_112_3007_L1V1,Atarazanas,1,,M84_26_01_ogt_112_3007,L1V1
1,M84_26_01_ogt,M84_26_01_ogt_112_3008_L1V2,Andalucía Tech,0,,M84_26_01_ogt_112_3008,L1V2
1,M84_26_01_ogt,M84_26_01_ogt_112_3009_L1V1,Atarazanas,1,,M84_26_01_ogt_112_3009,L1V1
1,M84_26_01_ogt,M84_26_01_ogt_112_3010_L1V2,Andalucía Tech,0,,M84_26_01_ogt_112_3010,L1V2
1,M84_26_01_ogt,M84_26_01_ogt_112_3011_L1V1,Atarazanas,1,,M84_26_01_ogt_112_3011,L1V1
1,M84_26_01_ogt,M84_26_01_ogt_112_3012_L1V2,Andalucía Tech,0,,M84_26_01_ogt_112_3012,L1V2
1,M84_26_01_ogt,M84_26_01_ogt_112_3013_L1V1,Atarazanas,1,,M84_26_01_ogt_112_3013,L1V1
2,M84_26_01_ogt,M84_26_01_ogt_210_3001_L2V1,Guadalmedina - L2,1,,M84_26_01_ogt_210_3001,L2V1
2,M84_26_01_ogt,M84_26_01_ogt_210_3002_L2V2,Palacio de los Deportes,0,,M84_26_01_ogt_210_3002,L2V2
2,M84_26_01_ogt,M84_26_01_ogt_210_3003_L2V1,Guadalmedina - L2,1,,M84_26_01_ogt_210_3003,L2V1
2,M84_26_01_ogt,M84_26_01_ogt_210_3004_L2V2,Palacio de los Deportes,0,,M84_26_01_ogt_210_3004,L2V2
2,M84_26_01_ogt,M84_26_01_ogt_210_3005_L2V1,Guadalmedina - L2,1,,M84_26_01_ogt_210_3005,L2V1
2,M84_26_01_ogt,M84_26_01_ogt_210_3006_L2V2,Palacio de los Deportes,0,,M84_26_01_ogt_210_3006,L2V2
2,M84_26_01_ogt,M84_26_01_ogt_210_3007_L2V1,Guadalmedina - L2,1,,M84_26_01_ogt_210_3007,L2V1
2,M84_26_01_ogt,M84_26_01_ogt_210_3008_L2V2,Palacio de los Deportes,0,,M84_26_01_ogt_210_3008,L2V2
2,M84_26_01_ogt,M84_26_01_ogt_210_3009_L2V1,Guadalmedina - L2,1,,M84_26_01_ogt_210_3009,L2V1
2,M84_26_01_ogt,M84_26_01_ogt_210_3010_L2V2,Palacio de los Deportes,0,,M84_26_01_ogt_210_3010,L2V2
2,M84_26_01_ogt,M84_26_01_ogt_210_3011_L2V1,Guadalmedina - L2,1,,M84_26_01_ogt_210_3011,L2V1
2,M84_26_01_ogt,M84_26_01_ogt_210_3012_L2V2,Palacio de los Deportes,0,,M84_26_01_ogt_210_3012,L2V2
2,M84_26_01_ogt,M84_26_01_ogt_210_3013_L2V1,Guadalmedina - L2,1,,M84_26_01_ogt_210_3013,L2V1
2,M84_26_01_ogt,M84_26_01_ogt_210_3014_L2V2,Palacio de los Deportes,0,,M84_26_01_ogt_210_3014,L2V2
2,M84_26_01_ogt,M84_26_01_ogt_210_3015_L2V1,Guadalmedina - L2,1,,M84_26_01_ogt_210_3015,L2V1
2,M84_26_01_ogt,M84_26_01_ogt_210_3016_L2V2,Palacio de los Deportes,0,,M84_26_01_ogt_210_3016,L2V2
2,M84_26_01_ogt,M84_26_01_ogt_210_3017_L2V1,Guadalmedina - L2,1,,M84_26_01_ogt_210_3017,L2V1
2,M84_26_01_ogt,M84_26_01_ogt_210_3018_L2V2,Palacio de los Deportes,0,,M84_26_01_ogt_210_3018,L2V2
2,M84_26_01_ogt,M84_26_01_ogt_206_3001_L2V1,Guadalmedina - L2,1,,M84_26_01_ogt_206_3001,L2V1
2,M84_26_01_ogt,M84_26_01_ogt_206_3002_L2V2,Palacio de los Deportes,0,,M84_26_01_ogt_206_3002,L2V2
2,M84_26_01_ogt,M84_26_01_ogt_206_3003_L2V1,Guadalmedina - L2,1,,M84_26_01_ogt_206_3003,L2V1
2,M84_26_01_ogt,M84_26_01_ogt_206_3004_L2V2,Palacio de los Deportes,0,,M84_26_01_ogt_206_3004,L2V2
2,M84_26_01_ogt,M84_26_01_ogt_206_3005_L2V1,Guadalmedina - L2,1,,M84_26_01_ogt_206_3005,L2V1
2,M84_26_01_ogt,M84_26_01_ogt_206_3006_L2V2,Palacio de los Deportes,0,,M84_26_01_ogt_206_3006,L2V2
2,M84_26_01_ogt,M84_26_01_ogt_206_3007_L2V1,Guadalmedina - L2,1,,M84_26_01_ogt_206_3007,L2V1
