network,station_name,station_lat,station_lon,lines,num_platforms,platform_coords
Euskotren,Intxaurrondo-Donostia,43.314909,-1.954756,,2,"43.314244,-1.954914|43.314087,-1.954786"
Euskotren,Irun,43.341205,-1.796055,,2,"43.341377,-1.795883|43.341409,-1.79598"
Euskotren,Itsasbegi-Busturia,43.391100,-2.693867,,2,"43.390987,-2.693788|43.390888,-2.69366"
Euskotren,Kañabenta,42.873816,-2.681260,,2,"42.873816,-2.68126|42.873816,-2.68126"
Euskotren,Kristo,42.874085,-2.677600,,1,"42.874085,-2.6776"
Euskotren,Kukullaga-Etxebarri,43.251142,-2.889764,,3,"43.251034,-2.889611|43.250996,-2.889755|43.250996,-2.889755"
Euskotren,Kurtzea-Lezama,43.276579,-2.846344,,2,"43.276584,-2.846415|43.276627,-2.846307"
Euskotren,La Casilla,43.257767,-2.944349,,1,"43.257767,-2.944349"
Euskotren,La Escontrilla,43.301233,-3.042030,,1,"43.301233,-3.04203"
Euskotren,La Unión,42.849156,-2.650589,,2,"42.849156,-2.650589|42.849156,-2.650589"
Euskotren,Lakuabizkarra,42.863127,-2.694579,,2,"42.863127,-2.694579|42.863127,-2.694579"
Euskotren,Landaberde,42.866206,-2.698489,,2,"42.866206,-2.698489|42.866206,-2.698489"
Euskotren,Larreineta,43.292442,-3.049087,,1,"43.292442,-3.049087"
Euskotren,Larrondo-Loiu,43.294299,-2.915778,,2,"43.294342,-2.915939|43.2943,-2.91556"
Euskotren,Lasarte-Oria,43.270645,-2.020122,,2,"43.271043,-2.020272|43.271043,-2.020272"
Euskotren,Legebiltzarra/Parlamento,42.845328,-2.674377,,2,"42.845328,-2.674377|42.845328,-2.674377"
Euskotren,Lekunbiz-Zamudio,43.286699,-2.874526,,1,"43.286718,-2.874588"
Euskotren,Lemoa,43.207092,-2.775247,,3,"43.207099,-2.775422|43.207099,-2.775422|43.207099,-2.775422"
Euskotren,Lezama,43.273257,-2.835634,,2,"43.273509,-2.835955|43.273509,-2.835955"
Euskotren,Loiola-Donostia,43.310096,-1.968305,,2,"43.310392,-1.968091|43.310455,-1.968129"
Euskotren,Lovaina,42.846246,-2.678510,,2,"42.846246,-2.67851|42.846246,-2.67851"
Euskotren,Lugaritz-Donostia,43.302417,-2.000701,,2,"43.302499,-2.000706|43.302499,-2.000706"
Euskotren,Lurgorri-Gernika,43.306722,-2.680315,,1,"43.306617,-2.680377"
Euskotren,Lutxana-Erandio,43.291318,-2.969768,,1,"43.291154,-2.969765"
Euskotren,Matiko-Bilbao,43.268919,-2.925007,,2,"43.268994,-2.92555|43.269054,-2.925537"
Euskotren,Mendaro,43.252152,-2.387913,,2,"43.252281,-2.388031|43.252336,-2.387763"
Euskotren,Mundaka,43.408870,-2.700911,,2,"43.408842,-2.701085|43.408842,-2.701085"
Euskotren,Muxika,43.286788,-2.689493,,2,"43.286718,-2.689477|43.286597,-2.689391"
Euskotren,Nikosia,42.845215,-2.649645,,2,"42.845215,-2.649645|42.845215,-2.649645"
Euskotren,Oiartzun,43.308619,-1.879725,,2,"43.308662,-1.879714|43.308662,-1.879714"
Euskotren,Ola-Sondika,43.291849,-2.925227,,1,"43.291844,-2.925072"
Euskotren,Otxarkoaga-Bilbao,43.259503,-2.900123,,2,"43.259593,-2.90015|43.259593,-2.90015"
Euskotren,Pasaia,43.317912,-1.917488,,2,"43.318118,-1.917572|43.318066,-1.917609"
Euskotren,Pio Baroja,43.264483,-2.926262,,2,"43.264483,-2.926262|43.264483,-2.926262"
Euskotren,Ribera,43.255795,-2.924369,,1,"43.255795,-2.924369"
Euskotren,Sabino Arana,43.263192,-2.946222,,2,"43.263192,-2.946222|43.263192,-2.946222"
Euskotren,Salburua,42.854489,-2.651874,,2,"42.854489,-2.651874|42.854489,-2.651874"
Euskotren,San Kristobal-Busturia,43.367813,-2.690337,,1,"43.367768,-2.690299"
Euskotren,San Lorentzo-Ermua,43.179425,-2.495861,,1,"43.179443,-2.495737"
Euskotren,San Mames,43.261742,-2.948939,,2,"43.261742,-2.948939|43.261742,-2.948939"
Euskotren,San Pelaio-Zarautz,43.283471,-2.160199,,1,"43.283477,-2.159935"
Euskotren,Santa Luzia,42.841606,-2.658713,,2,"42.841606,-2.658713|42.841606,-2.658713"
Euskotren,Sondika,43.298293,-2.927764,,2,"43.298278,-2.928255|43.298351,-2.928092"
